,cow_id,bull_id
0,US00000064882,US00000000795
1,NL00000071692,US00000000795
2,RU00000080655,US00000000795
3,US00000072956,US00000000795
4,US00000082041,US00000000795
5,RU00000065599,US00000000795
6,RU00000090513,US00000000795
7,GB00000075621,US00000000795
8,GB00000088852,US00000000795
9,GB00000005554,US00000000795
10,FR00000062660,US00000000795
11,FR00000051660,US00000000795
12,GB00000068551,US00000000795
13,FR00000083213,US00000000795
14,NL00000069046,US00000000795
15,NL00000039350,US00000000795
16,RU00000079663,US00000000795
17,RU00000071808,US00000000795
18,DE00000038672,US00000000795
19,GB00000083008,US00000000795
20,US00000088916,US00000000795
21,US00000076028,US00000000795
22,RU00000072998,US00000000795
23,RU00000038668,US00000000795
24,NL00000072333,US00000000795
25,GB00000082359,US00000000795
26,GB00000076082,US00000000795
27,US00000092314,US00000000795
28,US00000075384,US00000000795
29,DE00000086787,US00000000795
30,FR00000071613,US00000000795
31,NL00000075162,US00000000795
32,DE00000052453,US00000000795
33,RU00000072903,US00000000795
34,RU00000083214,US00000000795
35,RU00000068714,US00000000795
36,DE00000004841,US00000000795
37,DE00000057116,US00000000795
38,FR00000083370,US00000000795
39,FR00000076946,US00000000795
40,NL00000077848,US00000000795
41,DE00000056543,US00000000795
42,GB00000077268,US00000000795
43,DE00000083806,US00000000795
44,FR00000083906,US00000000795
45,NL00000060231,US00000000795
46,GB00000051704,US00000000795
47,NL00000090102,US00000000795
48,RU00000034052,US00000000795
49,FR00000087774,US00000000795
50,GB00000087808,US00000000795
51,FR00000006340,US00000000795
52,US00000004226,US00000000795
53,DE00000020450,US00000000795
54,NL00000034370,US00000000795
55,FR00000048545,US00000000795
56,GB00000062255,US00000000795
57,GB00000062263,US00000000795
58,RU00000092399,US00000000795
59,FR00000051479,US00000000795
60,FR00000072866,US00000000795
61,NL00000035058,US00000000795
62,FR00000061409,US00000000795
63,RU00000038280,US00000000795
64,US00000085177,US00000000795
65,FR00000083240,US00000000795
66,NL00000085128,US00000000795
67,FR00000083215,US00000000795
68,FR00000083369,US00000000795
69,NL00000058875,US00000000795
70,US00000051675,US00000000795
71,RU00000083367,US00000000795
72,DE00000062315,US00000000795
73,GB00000080148,US00000000795
74,GB00000027208,US00000000795
75,FR00000069713,US00000000795
76,GB00000068006,US00000000795
77,FR00000088128,US00000000795
78,FR00000057800,US00000000795
79,RU00000012433,US00000000795
80,RU00000085239,US00000000795
81,NL00000085300,US00000000795
82,DE00000008364,US00000000795
83,NL00000068187,US00000000795
84,GB00000083225,US00000000795
85,GB00000081581,US00000000795
86,GB00000077943,US00000000795
87,GB00000060961,US00000000795
88,GB00000076151,US00000000795
89,DE00000041519,US00000000795
90,RU00000064336,US00000000795
91,NL00000009126,US00000000795
92,DE00000088622,US00000000795
93,RU00000053051,US00000000795
94,FR00000052374,US00000000795
95,NL00000039840,US00000000795
96,US00000083285,US00000000795
97,GB00000083212,US00000000795
98,DE00000047256,US00000000795
99,GB00000090354,US00000000795
100,FR00000066331,US00000000795
101,DE00000076101,US00000000795
102,DE00000028435,US00000000795
103,DE00000056848,US00000000795
104,GB00000074882,US00000000795
105,RU00000029188,US00000000795
106,RU00000008074,US00000000795
107,DE00000044346,US00000000795
108,DE00000031021,US00000000795
109,NL00000081133,US00000000795
110,NL00000049770,US00000000795
111,US00000072389,US00000000795
112,GB00000087584,US00000000795
113,NL00000054257,US00000000795
114,NL00000017178,US00000000795
115,NL00000058911,US00000000795
116,NL00000054997,US00000000795
117,DE00000007634,US00000000795
118,DE00000049366,US00000000795
119,GB00000079469,US00000000795
120,RU00000013256,US00000000795
121,GB00000062306,US00000000795
122,GB00000066149,US00000000795
123,US00000064447,US00000000795
124,NL00000035108,US00000000795
125,NL00000062237,US00000000795
126,RU00000055199,US00000000795
127,FR00000061838,US00000000795
128,FR00000073830,US00000000795
129,NL00000053949,US00000000795
130,US00000049391,US00000000795
131,GB00000006151,US00000000795
132,RU00000053303,US00000000795
133,DE00000068078,US00000000795
134,FR00000011424,US00000000795
135,DE00000047039,US00000000795
136,FR00000066859,US00000000795
137,RU00000032996,US00000000795
138,US00000016524,US00000000795
139,US00000091598,US00000000795
140,GB00000065165,US00000000795
141,RU00000024418,US00000000795
142,GB00000055643,US00000000795
143,GB00000071550,US00000000795
144,NL00000092437,US00000000795
145,RU00000021712,US00000000795
146,NL00000005557,US00000000795
147,RU00000072239,US00000000795
148,FR00000024697,US00000000795
149,DE00000031934,US00000000795
150,DE00000078583,US00000000795
151,US00000025714,US00000000795
152,GB00000011147,US00000000795
153,US00000076642,US00000000795
154,GB00000067893,US00000000795
155,FR00000062341,US00000000795
156,RU00000082200,US00000000795
157,GB00000066269,US00000000795
158,RU00000083442,US00000000795
159,GB00000065875,US00000000795
160,RU00000066322,US00000000795
161,US00000052774,US00000000795
162,DE00000056687,US00000000795
163,DE00000024561,US00000000795
164,NL00000076132,US00000000795
165,GB00000047882,US00000000795
166,US00000070952,US00000000795
167,RU00000011925,US00000000795
168,NL00000073673,US00000000795
169,DE00000052561,US00000000795
170,NL00000076734,US00000000795
171,FR00000034980,US00000000795
172,GB00000019113,US00000000795
173,RU00000016137,US00000000795
174,GB00000052751,US00000000795
175,GB00000092611,US00000000795
176,FR00000031697,US00000000795
177,FR00000083205,US00000000795
178,RU00000053319,US00000000795
179,NL00000066105,US00000000795
180,DE00000062275,US00000000795
181,DE00000049341,US00000000795
182,FR00000041815,US00000000795
183,RU00000018379,US00000000795
184,GB00000039353,US00000000795
185,RU00000032256,US00000000795
186,NL00000040709,US00000000795
187,DE00000049634,US00000000795
188,GB00000083266,US00000000795
189,US00000065879,US00000000795
190,DE00000093459,US00000000795
191,US00000069066,US00000000795
192,GB00000025775,US00000000795
193,FR00000065051,US00000000795
194,FR00000048464,US00000000795
195,GB00000064148,US00000000795
196,NL00000069985,US00000000795
197,RU00000011786,US00000000795
198,NL00000010486,US00000000795
199,US00000038525,US00000000795
200,DE00000030330,US00000000795
201,GB00000071873,US00000000795
202,NL00000062276,US00000000795
203,GB00000061874,US00000000795
204,US00000090064,US00000000795
205,US00000037172,US00000000795
206,US00000010495,US00000000795
207,US00000074677,US00000000795
208,FR00000047272,US00000000795
209,GB00000063557,US00000000795
210,RU00000086981,US00000000795
211,US00000048656,US00000000795
212,US00000066549,US00000000795
213,US00000079156,US00000000795
214,DE00000007754,US00000000795
215,GB00000077805,US00000000795
216,FR00000017620,US00000000795
217,GB00000093260,US00000000795
218,NL00000016916,US00000000795
219,US00000027946,US00000000795
220,FR00000046248,US00000000795
221,NL00000053156,US00000000795
222,NL00000046518,US00000000795
223,US00000079944,US00000000795
224,RU00000008363,US00000000795
225,FR00000044349,US00000000795
226,NL00000039376,US00000000795
227,FR00000035001,US00000000795
228,NL00000052214,US00000000795
229,RU00000020091,US00000000795
230,DE00000030761,US00000000795
231,NL00000062232,US00000000795
232,RU00000062355,US00000000795
233,FR00000030831,US00000000795
234,DE00000092995,US00000000795
235,DE00000045787,US00000000795
236,RU00000062980,US00000000795
237,DE00000091510,US00000000795
238,DE00000084790,US00000000795
239,DE00000065068,US00000000795
240,FR00000053881,US00000000795
241,US00000052177,US00000000795
242,RU00000068983,US00000000795
243,US00000068670,US00000000795
244,NL00000071424,US00000000795
